run,RS,NSGA-II-D,NSGA-II
1,0.23846498752406955,0.24523487828913187,0.22008314115701857
2,0.1945334699077384,0.2758535106386191,0.46164477325504627
3,0.22660980562485858,0.2425009969517815,0.49857554192621095
4,0.23762875388012206,0.26508169703017465,0.24582058122178407
5,0.2086390336833085,0.2627540265466727,0.4940759125880656
6,0.20079117666218718,0.41607532964953703,0.32704120305745993
7,0.24529729138441397,0.5155513377458427,0.3171506792034189
8,0.20736867592205938,0.2646710584364739,0.4898537070456532
9,0.1736513583503689,0.48805247611641417,0.4435879481645956
10,0.1891622359065793,0.2568600695523538,0.278372147296819
