Attribute,Value
Number Critical Scenarios,948
Number Critical Scenarios (duplicate free),214
Number All Scenarios,1000
Number All Scenarios (duplicate free),249
Number Best Critical Scenarios,19
Number Best Critical Scenarios (duplicate free),19
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.95
Ratio Critical/All scenarios (duplicate free),0.86
Ratio Best Critical/Best Scenarios,0.95
Ratio Best Critical/Best Scenarios (duplicate free),0.95
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99315715  0.74683304  0.        ]
Input value of critical (first of population of interest),[-7.38439319 -3.3317042  17.93338042]
