Attribute,Value
Number Critical Scenarios,58
Number Critical Scenarios (duplicate free),58
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,14
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,19
Number Best Scenarios (duplicate free),19
Ratio Critical/All scenarios,0.06
Ratio Critical/All scenarios (duplicate free),0.06
Ratio Best Critical/Best Scenarios,0.74
Ratio Best Critical/Best Scenarios (duplicate free),0.74
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99885815  0.83328241  0.        ]
Input value of critical (first of population of interest),[ 6.48650332 -6.86571392  5.3416034 ]
