Attribute,Value
Number Critical Scenarios,293
Number Critical Scenarios (duplicate free),80
Number All Scenarios,1000
Number All Scenarios (duplicate free),275
Number Best Critical Scenarios,6
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.29
Ratio Critical/All scenarios (duplicate free),0.29
Ratio Best Critical/Best Scenarios,0.30
Ratio Best Critical/Best Scenarios (duplicate free),0.30
Iteration first critical found,7
Fitness value of critical (first of population of interest),[-0.98898649  0.83396079 -4.00741916]
Input value of critical (first of population of interest),[-3.52378703  7.78714878  5.66100994]
