Attribute,Value
Number Critical Scenarios,418
Number Critical Scenarios (duplicate free),91
Number All Scenarios,1000
Number All Scenarios (duplicate free),198
Number Best Critical Scenarios,233
Number Best Critical Scenarios (duplicate free),27
Number Best Scenarios,624
Number Best Scenarios (duplicate free),55
Ratio Critical/All scenarios,0.42
Ratio Critical/All scenarios (duplicate free),0.46
Ratio Best Critical/Best Scenarios,0.37
Ratio Best Critical/Best Scenarios (duplicate free),0.49
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999992  0.840928  0.      ]
Input value of critical (first of population of interest),[-1.262913 -5.835502  3.675253]
