Attribute,Value
Number Critical Scenarios,13
Number Critical Scenarios (duplicate free),13
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,3
Number Best Critical Scenarios (duplicate free),3
Number Best Scenarios,18
Number Best Scenarios (duplicate free),18
Ratio Critical/All scenarios,0.01
Ratio Critical/All scenarios (duplicate free),0.01
Ratio Best Critical/Best Scenarios,0.17
Ratio Best Critical/Best Scenarios (duplicate free),0.17
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.996755  0.844426  0.      ]
Input value of critical (first of population of interest),[-7.629141  7.393709  6.11598 ]
