Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input
92,5.955188,4.101176,1.606806,-0.713958,0.735371,0.000000
93,6.895852,6.631098,0.166260,-0.920813,0.697725,0.000000
94,-5.855597,-0.004885,0.980762,-0.999811,0.786185,0.000000
95,-5.390069,-2.537582,3.152395,-0.968135,0.824987,0.000000
96,-6.555126,-7.967930,10.899028,-0.828324,0.740305,0.000000
97,6.933429,4.615185,0.192600,-0.902086,0.697247,0.000000
98,7.929917,-2.693065,14.696250,-0.994807,0.682520,0.000000
99,-6.679728,-3.114980,12.242116,-0.957089,0.757718,0.000000
100,-6.634728,-5.537608,8.963773,-0.726404,0.757506,0.000000
101,-5.887470,-0.551834,1.098802,-0.999159,0.787255,0.000000
102,-5.073309,3.746810,0.650334,-0.999953,0.770993,0.000000
103,4.214132,-3.925456,1.876695,-0.905495,0.815389,0.000000
104,-5.522882,5.284469,18.884145,-0.956129,0.791282,0.000000
105,5.202736,4.443227,1.462411,-0.805198,0.704762,0.000000
106,-7.274223,4.065492,10.497570,-0.841277,0.762960,0.000000
107,-6.343156,-6.488517,16.448069,-0.706269,0.713853,0.000000
108,3.124063,5.777009,1.711354,-0.952291,0.705149,0.000000
109,-0.171766,-6.260914,13.377225,-0.976857,0.732167,0.000000
110,-7.434797,-5.872947,9.033683,-0.925285,0.729412,0.000000
111,-7.821519,6.355130,10.345476,-0.900990,0.779690,0.000000
112,6.116908,-5.342718,18.241545,-0.935600,0.801057,0.000000
113,-6.861630,-7.618341,2.123926,-0.999946,0.824106,0.000000
114,5.840864,3.807514,0.007032,-0.873361,0.718473,0.000000
