run,RS,NSGA-II,NSGA-II-DJ_A1.77,MOPSO
1,0.1685713259403933,0.4274022057201342,0.3251271219295186,0.4079581420571269
2,0.2515608936388204,0.6590755723406782,0.409458495101684,0.4852010885236346
3,0.3562311241034001,0.5992069214606618,0.4590330108585958,0.6231070385990162
4,0.0926060189541854,0.27359085307031805,0.21444671607140015,0.2863404583355887
5,0.12985644770533167,0.40454980763238063,0.3649851340353271,0.3622683288984842
6,0.21162501181812676,0.4415577831467225,0.33325161160889805,0.4675068603826486
7,0.09546629081091138,0.4600230301594784,0.2559033445029909,0.4208305789415549
8,0.1527560989173334,0.4089231896964411,0.3193833729105369,0.410858984298416
9,0.1249499951354008,0.36304748735677184,0.2337025939089423,0.3696185795232933
10,0.23702340514948755,0.453648981784155,0.3749686013860719,0.501143569945626
11,0.09312230105451973,0.27668438005577234,0.21560338058410802,0.2963894180184533
12,0.17660695668671053,0.5473309712853489,0.3910535581639795,0.4974370289439888
13,0.09200904535809842,0.3836769857963048,0.29027780231784234,0.4345919592550221
14,0.10117131592048696,0.297261329703694,0.2207180614183694,0.2700026486289142
15,0.14170598361268408,0.4275782115060768,0.27804086248412924,0.4728750152802156
16,0.14357800377172242,0.3201172913792021,0.24453914993852735,0.365314232033104
17,0.08266326939607943,0.34854645728655986,0.21631165347858852,0.3321487656024565
18,0.14341367224395474,0.31063312646797786,0.24603492348999725,0.3492104997534358
19,0.10407364106901676,0.3745850446480881,0.23231030700775265,0.3308751442457081
20,0.1239081276511215,0.3334597693310677,0.2286613710188209,0.2973815977511914
