Attribute,Value
Number Critical Scenarios,72
Number Critical Scenarios (duplicate free),72
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,11
Number Best Scenarios (duplicate free),11
Ratio Critical/All scenarios,0.07
Ratio Critical/All scenarios (duplicate free),0.07
Ratio Best Critical/Best Scenarios,0.82
Ratio Best Critical/Best Scenarios (duplicate free),0.82
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999987  0.812971  0.      ]
Input value of critical (first of population of interest),[ 7.840847 -3.153665 14.944965]
