Attribute,Value
Number Critical Scenarios,353
Number Critical Scenarios (duplicate free),78
Number All Scenarios,1000
Number All Scenarios (duplicate free),226
Number Best Critical Scenarios,7
Number Best Critical Scenarios (duplicate free),7
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.35
Ratio Critical/All scenarios (duplicate free),0.35
Ratio Best Critical/Best Scenarios,0.35
Ratio Best Critical/Best Scenarios (duplicate free),0.35
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.98847455  0.85968965 -2.04096721]
Input value of critical (first of population of interest),[ 1.51668706 -7.18755674  2.37014976]
