Attribute,Value
Number Critical Scenarios,57
Number Critical Scenarios (duplicate free),57
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,14
Number Best Scenarios (duplicate free),14
Ratio Critical/All scenarios,0.06
Ratio Critical/All scenarios (duplicate free),0.06
Ratio Best Critical/Best Scenarios,0.64
Ratio Best Critical/Best Scenarios (duplicate free),0.64
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99980593  0.84011659  0.        ]
Input value of critical (first of population of interest),[-6.82800723  5.69091454  4.03380231]
