run,RS,NSGA-II-D,NSGA-II
1,0.11369659716384736,0.17425311970013302,0.2789337017809943
2,0.10752230881977141,0.21940247866022192,0.2834492778496062
3,0.11516325233349943,0.2134759786986831,0.3111857902082642
4,0.10841431178249025,0.1948165287461898,0.3476936100873406
5,0.10972311084684959,0.26235452633604767,0.3415560892577913
6,0.10787197551181944,0.21406612696786562,0.32418385027124325
7,0.11717473469208084,0.32165477222856886,0.32524774698598596
8,0.10944831487108855,0.22964536291210497,0.40809811137562296
9,0.11340022823619496,0.2211000407465981,0.29941512801213577
10,0.12108440906846582,0.30293045568540783,0.2467101104125531
