Attribute,Value
Number Critical Scenarios,113
Number Critical Scenarios (duplicate free),26
Number All Scenarios,1000
Number All Scenarios (duplicate free),235
Number Best Critical Scenarios,83
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,635
Number Best Scenarios (duplicate free),74
Ratio Critical/All scenarios,0.11
Ratio Critical/All scenarios (duplicate free),0.11
Ratio Best Critical/Best Scenarios,0.13
Ratio Best Critical/Best Scenarios (duplicate free),0.16
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999718  0.798472 -3.213165]
Input value of critical (first of population of interest),[ 3.438319 -5.996538  4.440421]
