Attribute,Value
Number Critical Scenarios,476
Number Critical Scenarios (duplicate free),102
Number All Scenarios,1000
Number All Scenarios (duplicate free),258
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.48
Ratio Critical/All scenarios (duplicate free),0.40
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.77564371  0.85068144 -1.97166082]
Input value of critical (first of population of interest),[ 3.46974582 -5.64089426 19.75749434]
