Attribute,Value
Number Critical Scenarios,430
Number Critical Scenarios (duplicate free),127
Number All Scenarios,1000
Number All Scenarios (duplicate free),331
Number Best Critical Scenarios,168
Number Best Critical Scenarios (duplicate free),34
Number Best Scenarios,345
Number Best Scenarios (duplicate free),75
Ratio Critical/All scenarios,0.43
Ratio Critical/All scenarios (duplicate free),0.38
Ratio Best Critical/Best Scenarios,0.49
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.92311   0.791493]
Input value of critical (first of population of interest),[-7.696623  0.792842  0.975828]
