Attribute,Value
Number Critical Scenarios,121
Number Critical Scenarios (duplicate free),121
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,8
Number Best Scenarios (duplicate free),8
Ratio Critical/All scenarios,0.12
Ratio Critical/All scenarios (duplicate free),0.12
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.799499  0.      ]
Input value of critical (first of population of interest),[ 6.006116  1.681292 11.224827]
