Attribute,Value
Number Critical Scenarios,467
Number Critical Scenarios (duplicate free),140
Number All Scenarios,1000
Number All Scenarios (duplicate free),302
Number Best Critical Scenarios,203
Number Best Critical Scenarios (duplicate free),42
Number Best Scenarios,385
Number Best Scenarios (duplicate free),75
Ratio Critical/All scenarios,0.47
Ratio Critical/All scenarios (duplicate free),0.46
Ratio Best Critical/Best Scenarios,0.53
Ratio Best Critical/Best Scenarios (duplicate free),0.56
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.937431  0.811296]
Input value of critical (first of population of interest),[-7.905763  2.587492  2.550072]
