Attribute,Value
Number Critical Scenarios,760
Number Critical Scenarios (duplicate free),245
Number All Scenarios,1000
Number All Scenarios (duplicate free),326
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.76
Ratio Critical/All scenarios (duplicate free),0.75
Ratio Best Critical/Best Scenarios,0.60
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.61897719  0.75440037]
Input value of critical (first of population of interest),[-3.14307877  6.63667638  4.26185876]
