Attribute,Value
Number Critical Scenarios,53
Number Critical Scenarios (duplicate free),53
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,14
Number Best Scenarios (duplicate free),14
Ratio Critical/All scenarios,0.05
Ratio Critical/All scenarios (duplicate free),0.05
Ratio Best Critical/Best Scenarios,0.57
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999806  0.840117  0.      ]
Input value of critical (first of population of interest),[-6.828007  5.690915  4.033802]
