Attribute,Value
Number Critical Scenarios,408
Number Critical Scenarios (duplicate free),72
Number All Scenarios,1000
Number All Scenarios (duplicate free),159
Number Best Critical Scenarios,331
Number Best Critical Scenarios (duplicate free),39
Number Best Scenarios,795
Number Best Scenarios (duplicate free),69
Ratio Critical/All scenarios,0.41
Ratio Critical/All scenarios (duplicate free),0.45
Ratio Best Critical/Best Scenarios,0.42
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.998915  0.714275  0.      ]
Input value of critical (first of population of interest),[-7.832502 -1.547296 17.554213]
