n_evals,hv_all
40,0.0
80,0.2703598906718905
120,0.5190301145859161
160,0.5190301145859161
200,0.525391654904745
240,0.5264995625219789
280,0.5524939505925794
320,0.5527569090610396
360,0.5528799701759337
400,0.5982255086021747
440,0.5982255086021747
480,0.598329457649251
520,0.5983294734661667
560,0.5988392450957182
600,0.5988392450957182
640,0.6072266573739273
680,0.6072296902818026
720,0.6163167447646687
760,0.6163220342125115
800,0.6165381757909126
840,0.6165381757909126
880,0.6165955308723234
920,0.6166350455958607
960,0.6174425662182502
1000,0.6174425662182502
1040,0.6174425694557137
1080,0.62008147367896
1120,0.62008147367896
1160,0.6251616704510375
1200,0.6253156167927431
1240,0.6253278369541451
1280,0.6253278369541451
1320,0.625361554656803
1360,0.625361554656803
1400,0.6257037663018749
1440,0.6260431707803068
1480,0.626318660960408
1520,0.6299804050594657
1560,0.6299821925599896
1600,0.6299874617512342
1640,0.6300007240137623
1680,0.6303798241745185
1720,0.630379827374371
1760,0.6308541414622504
1800,0.6308541414622504
1840,0.6308751812518502
1880,0.6308920905239408
1920,0.6308920905239408
1960,0.6308920905239408
2000,0.63406517542831
