Attribute,Value
Number Critical Scenarios,439
Number Critical Scenarios (duplicate free),100
Number All Scenarios,1000
Number All Scenarios (duplicate free),176
Number Best Critical Scenarios,248
Number Best Critical Scenarios (duplicate free),36
Number Best Scenarios,533
Number Best Scenarios (duplicate free),49
Ratio Critical/All scenarios,0.44
Ratio Critical/All scenarios (duplicate free),0.57
Ratio Best Critical/Best Scenarios,0.47
Ratio Best Critical/Best Scenarios (duplicate free),0.73
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999991  0.785392  0.      ]
Input value of critical (first of population of interest),[-0.749699  7.767722 13.546626]
