Attribute,Value
Number Critical Scenarios,211
Number Critical Scenarios (duplicate free),211
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,14
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,19
Number Best Scenarios (duplicate free),19
Ratio Critical/All scenarios,0.21
Ratio Critical/All scenarios (duplicate free),0.21
Ratio Best Critical/Best Scenarios,0.74
Ratio Best Critical/Best Scenarios (duplicate free),0.74
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.9983272   0.81561182  0.        ]
Input value of critical (first of population of interest),[-5.38793347 -6.14889309  3.49615372]
