Attribute,Value
Number Critical Scenarios,1390
Number Critical Scenarios (duplicate free),208
Number All Scenarios,2000
Number All Scenarios (duplicate free),382
Number Best Critical Scenarios,346
Number Best Critical Scenarios (duplicate free),21
Number Best Scenarios,434
Number Best Scenarios (duplicate free),28
Ratio Critical/All scenarios,0.69
Ratio Critical/All scenarios (duplicate free),0.54
Ratio Best Critical/Best Scenarios,0.80
Ratio Best Critical/Best Scenarios (duplicate free),0.75
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.985871 -1.200136]
Input value of critical (first of population of interest),[0.356204 1.407875 4.798224]
