Attribute,Value
Number Critical Scenarios,560
Number Critical Scenarios (duplicate free),97
Number All Scenarios,1000
Number All Scenarios (duplicate free),218
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.56
Ratio Critical/All scenarios (duplicate free),0.44
Ratio Best Critical/Best Scenarios,0.55
Ratio Best Critical/Best Scenarios (duplicate free),0.55
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.97750729  0.69256316  0.        ]
Input value of critical (first of population of interest),[-5.87564686 -7.33286231 13.58001119]
