Attribute,Value
Number Critical Scenarios,391
Number Critical Scenarios (duplicate free),80
Number All Scenarios,1000
Number All Scenarios (duplicate free),215
Number Best Critical Scenarios,195
Number Best Critical Scenarios (duplicate free),27
Number Best Scenarios,553
Number Best Scenarios (duplicate free),70
Ratio Critical/All scenarios,0.39
Ratio Critical/All scenarios (duplicate free),0.37
Ratio Best Critical/Best Scenarios,0.35
Ratio Best Critical/Best Scenarios (duplicate free),0.39
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994865  0.714146  0.      ]
Input value of critical (first of population of interest),[1.981275 3.719501 1.835542]
