Attribute,Value
Number Critical Scenarios,437
Number Critical Scenarios (duplicate free),119
Number All Scenarios,1000
Number All Scenarios (duplicate free),236
Number Best Critical Scenarios,236
Number Best Critical Scenarios (duplicate free),39
Number Best Scenarios,554
Number Best Scenarios (duplicate free),64
Ratio Critical/All scenarios,0.44
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.43
Ratio Best Critical/Best Scenarios (duplicate free),0.61
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.997543  0.815541  0.      ]
Input value of critical (first of population of interest),[-2.418701 -7.191086  4.470111]
