RS_n_evals,RS_cid,RS_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGAII-DJ_A0.29_SEQ_n_evals,NSGAII-DJ_A0.29_SEQ_cid,NSGAII-DJ_A0.29_SEQ_cid_sigma
200.0,0.8833440629998526,0.20680723296739717,200.0,0.977861414004057,0.13849147537650924,200.0,0.8564161976753324,0.14930114274992898,200.0,0.8008730777343903,0.1877381238404104
400.0,0.7582503027949233,0.2999581245118828,400.0,0.8383205891613983,0.23805247370541127,400.0,0.7485616283979326,0.20034629216119612,400.0,0.752823197670946,0.1653159974482399
600.0,0.5489745079456714,0.19781572188054222,600.0,0.8263114375513985,0.30780131041772035,600.0,0.6831442016813151,0.2120836676997887,600.0,0.724139941202655,0.18552422599319857
800.0,0.5174095410282054,0.21115491326275257,800.0,0.7532826290461729,0.3724150127030473,800.0,0.6166999306826997,0.2182731570763621,800.0,0.5778637947538126,0.12219678493474612
1000.0,0.4950841136395738,0.22046264220129966,1000.0,0.728485385478136,0.34381336799274737,1000.0,0.5861462416482301,0.22458987470585293,1000.0,0.5500844239778571,0.13282163240062733
1200.0,0.4771180308711088,0.221804962918609,1200.0,0.6323117204981482,0.29509291939050825,1200.0,0.5712080938700695,0.2296245532801,1200.0,0.5410788368063633,0.12939913970542583
1400.0,0.4667659009415418,0.2266133146642853,1400.0,0.6280832493070843,0.29743661747262223,1400.0,0.566387257496638,0.23563054602794176,1400.0,0.48739040857778876,0.10730535936521744
1600.0,0.4222055729535253,0.16627808828904178,1600.0,0.6084632736089141,0.313131294631624,1600.0,0.5383957287484014,0.21063099521460654,1600.0,0.4753251020530042,0.10900217047345015
1800.0,0.4091335840089879,0.17052096205173348,1800.0,0.6084632736089141,0.313131294631624,1800.0,0.5369287523596612,0.21038870338204305,1800.0,0.45136723976438764,0.13654028041949398
2000.0,0.3822315328661946,0.16704875670160288,2000.0,0.6084632736089141,0.313131294631624,2000.0,0.5322102672940008,0.21051225940309506,2000.0,0.4473434278424794,0.133724397650915
