run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.21579792016965735,0.5772474577714392,0.6258696914225748,0.20662022843591438
2,0.32998669247159484,0.9886483563327549,0.5065753431131146,0.42768684505554516
3,0.1515920007587181,0.34383791529160856,0.5953853033167426,0.5900594809173034
4,0.45368358296236266,0.3768134264389716,0.25651412363278764,0.5723435604906945
5,0.32475195684314684,0.5042744122198498,0.457564005907858,0.40578596355630103
6,0.3081238352178761,0.3159783972363681,0.5575957226851975,0.44185233616172315
7,0.5424856199609567,0.3990051320536187,1,0.3529796366026352
8,0.4221058585362352,1,0.5881181911416786,0.6639215007186369
9,0.3387654087929388,0.4329065474188232,0.483020797889273,0.45920508988340547
10,0.7350224529484595,1.1459210913257067,0.251459493830782,0.3529796366026352
