run,RS,NSGA-II-D,NSGA-II
1,0.12334317570183059,0.17686639214687688,0.42585902667589115
2,0.1262163086900743,0.1793143390224513,0.4036986767071043
3,0.12701560656360625,0.20650903042125596,0.24793096589059038
4,0.12791859915582574,0.2121214604056493,0.535056172743637
5,0.1277323814809645,0.21397925401424894,0.34209508529460514
6,0.1295699644146866,0.2808823571221034,0.3152344157535855
7,0.12159894825494864,0.2757087831313133,0.324876033546623
8,0.13009715615843676,0.16098278433323124,0.44313612516717654
9,0.11379369223767447,0.19070740551653023,0.3174342152137152
10,0.12221411869595994,0.2113365869061866,0.27515415657479
