Attribute,Value
Number Critical Scenarios,684
Number Critical Scenarios (duplicate free),207
Number All Scenarios,1000
Number All Scenarios (duplicate free),335
Number Best Critical Scenarios,15
Number Best Critical Scenarios (duplicate free),15
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.68
Ratio Critical/All scenarios (duplicate free),0.62
Ratio Best Critical/Best Scenarios,0.75
Ratio Best Critical/Best Scenarios (duplicate free),0.75
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.95790917  0.72937442]
Input value of critical (first of population of interest),[ 3.85276336 -0.19239344  6.62057452]
