run,RS,NSGA-II-D,NSGA-II
1,0.085948128455159,0.1998819207539743,0.2205392600772763
2,0.08952027423819381,0.18864179220600133,0.255512016114295
3,0.08532889394422477,0.17029348344096581,0.2558977112308149
4,0.08920877575376358,0.18809027651605437,0.30515249767510877
5,0.08466396965043747,0.14752722618622624,0.28124605454000823
6,0.08787721734660232,0.21851890484917427,0.28443967176817925
7,0.0974362458351761,0.16233303396379753,0.23445779320402158
8,0.08605987255592405,0.23091094773848334,0.2698462431197709
9,0.08976795579255127,0.16500462320645704,0.27673171374275835
10,0.0938304413245073,0.14689349631531665,0.2811072117363771
