Attribute,Value
Number Critical Scenarios,324
Number Critical Scenarios (duplicate free),61
Number All Scenarios,1000
Number All Scenarios (duplicate free),237
Number Best Critical Scenarios,7
Number Best Critical Scenarios (duplicate free),7
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.35
Ratio Best Critical/Best Scenarios (duplicate free),0.35
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.99775785  0.81109418 -2.68313715]
Input value of critical (first of population of interest),[2.10254608 6.31325696 5.54374025]
