Attribute,Value
Number Critical Scenarios,828
Number Critical Scenarios (duplicate free),184
Number All Scenarios,1000
Number All Scenarios (duplicate free),316
Number Best Critical Scenarios,339
Number Best Critical Scenarios (duplicate free),38
Number Best Scenarios,339
Number Best Scenarios (duplicate free),38
Ratio Critical/All scenarios,0.83
Ratio Critical/All scenarios (duplicate free),0.58
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,8
Fitness value of critical (first of population of interest),[-0.999897  0.851629]
Input value of critical (first of population of interest),[ 6.50056  -6.420909  7.306986]
