Attribute,Value
Number Critical Scenarios,280
Number Critical Scenarios (duplicate free),101
Number All Scenarios,1000
Number All Scenarios (duplicate free),254
Number Best Critical Scenarios,131
Number Best Critical Scenarios (duplicate free),28
Number Best Scenarios,538
Number Best Scenarios (duplicate free),73
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.40
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.38
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999647  0.780093  0.      ]
Input value of critical (first of population of interest),[-0.667401 -5.582637  1.816241]
