Attribute,Value
Number Critical Scenarios,705
Number Critical Scenarios (duplicate free),249
Number All Scenarios,1000
Number All Scenarios (duplicate free),355
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.70
Ratio Critical/All scenarios (duplicate free),0.70
Ratio Best Critical/Best Scenarios,0.60
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.8844893   0.79667955]
Input value of critical (first of population of interest),[-4.06245487 -6.75374971  3.70949981]
