Attribute,Value
Number Critical Scenarios,181
Number Critical Scenarios (duplicate free),49
Number All Scenarios,1000
Number All Scenarios (duplicate free),331
Number Best Critical Scenarios,73
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,345
Number Best Scenarios (duplicate free),75
Ratio Critical/All scenarios,0.18
Ratio Critical/All scenarios (duplicate free),0.15
Ratio Best Critical/Best Scenarios,0.21
Ratio Best Critical/Best Scenarios (duplicate free),0.15
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.975997  0.793178]
Input value of critical (first of population of interest),[-7.696623  2.044989  0.975828]
