Attribute,Value
Number Critical Scenarios,263
Number Critical Scenarios (duplicate free),38
Number All Scenarios,1000
Number All Scenarios (duplicate free),196
Number Best Critical Scenarios,139
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,585
Number Best Scenarios (duplicate free),52
Ratio Critical/All scenarios,0.26
Ratio Critical/All scenarios (duplicate free),0.19
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.31
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.902178  0.831151 -6.792525]
Input value of critical (first of population of interest),[-3.488346 -6.949541  1.942282]
