Attribute,Value
Number Critical Scenarios,937
Number Critical Scenarios (duplicate free),279
Number All Scenarios,1000
Number All Scenarios (duplicate free),329
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.94
Ratio Critical/All scenarios (duplicate free),0.85
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.74671918  0.80560904]
Input value of critical (first of population of interest),[-1.31078585 -6.59994815  2.37458782]
