Attribute,Value
Number Critical Scenarios,745
Number Critical Scenarios (duplicate free),141
Number All Scenarios,1000
Number All Scenarios (duplicate free),184
Number Best Critical Scenarios,385
Number Best Critical Scenarios (duplicate free),42
Number Best Scenarios,548
Number Best Scenarios (duplicate free),47
Ratio Critical/All scenarios,0.74
Ratio Critical/All scenarios (duplicate free),0.77
Ratio Best Critical/Best Scenarios,0.70
Ratio Best Critical/Best Scenarios (duplicate free),0.89
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.998855  0.777251  0.      ]
Input value of critical (first of population of interest),[ 0.383171 -4.791852  2.300623]
