Attribute,Value
Number Critical Scenarios,554
Number Critical Scenarios (duplicate free),83
Number All Scenarios,2000
Number All Scenarios (duplicate free),362
Number Best Critical Scenarios,36
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,205
Number Best Scenarios (duplicate free),17
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.23
Ratio Best Critical/Best Scenarios,0.18
Ratio Best Critical/Best Scenarios (duplicate free),0.29
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.980134 -2.295356]
Input value of critical (first of population of interest),[0.388805 0.591451 0.269553]
