Attribute,Value
Number Critical Scenarios,188
Number Critical Scenarios (duplicate free),188
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,14
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,17
Number Best Scenarios (duplicate free),17
Ratio Critical/All scenarios,0.19
Ratio Critical/All scenarios (duplicate free),0.19
Ratio Best Critical/Best Scenarios,0.82
Ratio Best Critical/Best Scenarios (duplicate free),0.82
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.9983182   0.68601595  0.        ]
Input value of critical (first of population of interest),[-7.40677667 -5.36882361 18.91226437]
