Attribute,Value
Number Critical Scenarios,161
Number Critical Scenarios (duplicate free),53
Number All Scenarios,1000
Number All Scenarios (duplicate free),275
Number Best Critical Scenarios,79
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,501
Number Best Scenarios (duplicate free),74
Ratio Critical/All scenarios,0.16
Ratio Critical/All scenarios (duplicate free),0.19
Ratio Best Critical/Best Scenarios,0.16
Ratio Best Critical/Best Scenarios (duplicate free),0.24
Iteration first critical found,7
Fitness value of critical (first of population of interest),[-0.988986  0.833961 -4.007419]
Input value of critical (first of population of interest),[-3.523787  7.787149  5.66101 ]
