Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
484,0.927852,0.968637,0.036244,-0.999271,-2.680003
485,0.927774,0.968637,0.036293,-0.997336,-2.680002
486,0.866699,0.949386,0.008888,-0.901366,-3.188602
487,0.866699,0.950262,0.104878,-0.971753,-2.964673
488,0.926756,0.972808,0.036438,-0.990182,-2.777889
489,0.926383,0.972808,0.036438,-0.984360,-2.777898
490,0.734708,0.950494,0.782150,-0.991918,-2.766288
491,0.926383,0.972808,0.036595,-0.984360,-2.777898
492,0.734708,0.950494,0.782111,-0.991918,-2.766288
493,0.905994,0.968637,0.032176,-0.949356,-2.965001
494,0.909639,0.972808,0.036438,-0.947336,-2.971947
495,0.866699,0.949167,0.008603,-0.903299,-3.188602
496,0.866699,0.942765,0.017014,-0.942552,-3.169206
497,0.910362,0.971856,0.059261,-0.982581,-2.877031
498,0.927852,0.968637,0.036293,-0.999271,-2.680003
499,0.906137,0.969401,0.036377,-0.947674,-2.965013
500,0.874965,0.949476,0.017017,-0.946016,-3.167911
501,0.867321,0.951105,0.104878,-0.979696,-2.964675
502,0.909639,0.972808,0.036463,-0.947336,-2.971947
503,0.927852,0.968637,0.036244,-0.999271,-2.680003
504,0.866699,0.949167,0.008481,-0.903299,-3.188602
505,0.734708,0.950494,0.780623,-0.991918,-2.766288
506,0.927774,0.968637,0.036293,-0.997336,-2.680002
507,0.926756,0.972808,0.036438,-0.990182,-2.777889
508,0.734708,0.950494,0.782150,-0.991918,-2.766288
509,0.734708,0.950494,0.782111,-0.991918,-2.766288
510,0.866699,0.949167,0.008603,-0.903299,-3.188602
511,0.866699,0.942765,0.017014,-0.942552,-3.169206
512,0.910362,0.971856,0.059261,-0.982581,-2.877031
513,0.927852,0.968637,0.036293,-0.999271,-2.680003
514,0.867321,0.951105,0.104878,-0.979696,-2.964675
515,0.927852,0.968637,0.036244,-0.999271,-2.680003
516,0.866699,0.949167,0.008481,-0.903299,-3.188602
517,0.734708,0.950494,0.780623,-0.991918,-2.766288
518,0.875037,0.949425,0.017291,-0.948740,-3.167915
519,0.929490,0.972808,0.014249,-0.983894,-2.778392
520,0.929800,0.972808,0.013152,-0.989999,-2.778379
521,0.907192,0.969763,0.036438,-0.965131,-2.965073
522,0.867321,0.951105,0.104873,-0.979696,-2.964675
