Attribute,Value
Number Critical Scenarios,614
Number Critical Scenarios (duplicate free),173
Number All Scenarios,1000
Number All Scenarios (duplicate free),311
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.61
Ratio Critical/All scenarios (duplicate free),0.56
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.79085302  0.74148205]
Input value of critical (first of population of interest),[-7.66063027 -7.90003724 22.87543427]
