Attribute,Value
Number Critical Scenarios,226
Number Critical Scenarios (duplicate free),53
Number All Scenarios,1000
Number All Scenarios (duplicate free),207
Number Best Critical Scenarios,168
Number Best Critical Scenarios (duplicate free),21
Number Best Scenarios,713
Number Best Scenarios (duplicate free),75
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.28
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.994881  0.805713 -5.666989]
Input value of critical (first of population of interest),[ 1.042607 -7.7111    0.178999]
