Attribute,Value
Number Critical Scenarios,592
Number Critical Scenarios (duplicate free),169
Number All Scenarios,1000
Number All Scenarios (duplicate free),358
Number Best Critical Scenarios,14
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.59
Ratio Critical/All scenarios (duplicate free),0.47
Ratio Best Critical/Best Scenarios,0.70
Ratio Best Critical/Best Scenarios (duplicate free),0.70
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.87771034  0.79933047]
Input value of critical (first of population of interest),[3.25952181 3.06711088 7.30032014]
