Attribute,Value
Number Critical Scenarios,275
Number Critical Scenarios (duplicate free),84
Number All Scenarios,1000
Number All Scenarios (duplicate free),345
Number Best Critical Scenarios,113
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,204
Number Best Scenarios (duplicate free),45
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.24
Ratio Best Critical/Best Scenarios,0.55
Ratio Best Critical/Best Scenarios (duplicate free),0.64
Iteration first critical found,12
Fitness value of critical (first of population of interest),[-0.969663  0.830387]
Input value of critical (first of population of interest),[ 6.411992 -4.066653  7.268386]
