Attribute,Value
Id,46659192-0e59-4ad1-8ad4-8d6ef4c73136
Timestamp,04-03-2024_15:47:11
Problem,Demo_AVP_Metrics_Paper
Algorithm,NSGA-II
Search variables,"['Ego_HostVelGain', 'Other_Velocity_mps', 'Other_Time_s']"
Search space,"[(0.1, 1.0), (0.5, 2.0), (0.0, 5.0)]"
Fitness function,FitnessAdaptedDistanceSpeed
Critical function,CriticalAdasAdaptedDistanceVelocity_VerySmall
Search time,0.00 sec
