Attribute,Value
Number Critical Scenarios,443
Number Critical Scenarios (duplicate free),73
Number All Scenarios,2000
Number All Scenarios (duplicate free),408
Number Best Critical Scenarios,56
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,176
Number Best Scenarios (duplicate free),28
Ratio Critical/All scenarios,0.22
Ratio Critical/All scenarios (duplicate free),0.18
Ratio Best Critical/Best Scenarios,0.32
Ratio Best Critical/Best Scenarios (duplicate free),0.29
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.90129  -2.104183]
Input value of critical (first of population of interest),[0.775547 1.626788 1.817563]
