Attribute,Value
Number Critical Scenarios,606
Number Critical Scenarios (duplicate free),110
Number All Scenarios,1000
Number All Scenarios (duplicate free),187
Number Best Critical Scenarios,340
Number Best Critical Scenarios (duplicate free),35
Number Best Scenarios,599
Number Best Scenarios (duplicate free),46
Ratio Critical/All scenarios,0.61
Ratio Critical/All scenarios (duplicate free),0.59
Ratio Best Critical/Best Scenarios,0.57
Ratio Best Critical/Best Scenarios (duplicate free),0.76
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999781  0.733798  0.      ]
Input value of critical (first of population of interest),[ 1.600122  7.324238 14.056792]
