run,RS,NSGA-II-D,NSGA-II
1,0.3514562327969042,0.3729251559354045,0.5081299826393015
2,0.37931133287183033,0.43731648802291156,0.4486308388772205
3,0.35115333619987926,0.30698441087272793,0.6185800667687352
4,0.3514380406690263,0.30698441087272793,1
5,0.3514380406690263,0.3548480488725186,1
6,0.37931133287183033,0.42341292480245857,0.4486308388772205
7,0.3514562327969042,0.3729251559354045,0.5081299826393015
8,0.3867979723040311,0.42341292480245857,0.4373641212345963
9,0.35115333619987926,0.3548480488725186,0.6185800667687352
10,0.3867979723040311,0.43731648802291156,0.4373641212345963
