run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.1838474563319435,0.44710061544425267,0.5094775460258832,0.16073427173015725
2,0.26633729226442426,0.6440713811436369,0.40125035213005705,0.20377446942756788
3,0.1337691018009575,0.3567893055416999,0.32490402932602713,0.5308327020621482
4,0.2642009337789152,0.2347098542690234,0.16478521311121258,0.42239982570665335
5,0.21125084947855297,0.3597930301086093,0.38268522204604916,0.352945667166337
6,0.1729813071245679,0.19874970815435894,0.4983580639954408,0.30790202547865403
7,0.3984480632229245,0.27366686298233844,1,0.1879237735807425
8,0.23449251139906546,1,0.45042309587356755,0.5694998551032284
9,0.23975555763791975,0.2637859585752528,0.4176567405392172,0.3276152486306984
10,0.6168409127662813,0.7316096362942515,0.236010826703934,0.1879237735807425
