algo (subject: RS),p_value,effect
MOPSO,0.048828125,0.23
NSGA-II,0.083984375,0.23
NSGAII-DJ_A0.29_SEQ,0.4921875,0.39
algo (subject: MOPSO),p_value,effect
NSGA-II,0.921875,0.455
NSGAII-DJ_A0.29_SEQ,0.322265625,0.67
algo (subject: NSGA-II),p_value,effect
NSGAII-DJ_A0.29_SEQ,0.431640625,0.65
