Attribute,Value
Number Critical Scenarios,961
Number Critical Scenarios (duplicate free),270
Number All Scenarios,1000
Number All Scenarios (duplicate free),300
Number Best Critical Scenarios,342
Number Best Critical Scenarios (duplicate free),56
Number Best Scenarios,342
Number Best Scenarios (duplicate free),56
Ratio Critical/All scenarios,0.96
Ratio Critical/All scenarios (duplicate free),0.90
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.966985  0.734793]
Input value of critical (first of population of interest),[-6.773513 -5.559144 13.932129]
