Attribute,Value
Number Critical Scenarios,653
Number Critical Scenarios (duplicate free),127
Number All Scenarios,1000
Number All Scenarios (duplicate free),195
Number Best Critical Scenarios,445
Number Best Critical Scenarios (duplicate free),54
Number Best Scenarios,681
Number Best Scenarios (duplicate free),63
Ratio Critical/All scenarios,0.65
Ratio Critical/All scenarios (duplicate free),0.65
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.86
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.927636  0.738652  0.      ]
Input value of critical (first of population of interest),[-6.180173 -2.509977 15.968766]
