Attribute,Value
Number Critical Scenarios,374
Number Critical Scenarios (duplicate free),87
Number All Scenarios,1000
Number All Scenarios (duplicate free),191
Number Best Critical Scenarios,145
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,612
Number Best Scenarios (duplicate free),43
Ratio Critical/All scenarios,0.37
Ratio Critical/All scenarios (duplicate free),0.46
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.58
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.742966  0.840349 -3.193227]
Input value of critical (first of population of interest),[-0.342276  5.609297 16.020903]
