Attribute,Value
Number Critical Scenarios,179
Number Critical Scenarios (duplicate free),34
Number All Scenarios,1000
Number All Scenarios (duplicate free),235
Number Best Critical Scenarios,141
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,635
Number Best Scenarios (duplicate free),74
Ratio Critical/All scenarios,0.18
Ratio Critical/All scenarios (duplicate free),0.14
Ratio Best Critical/Best Scenarios,0.22
Ratio Best Critical/Best Scenarios (duplicate free),0.22
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999718  0.798472 -3.213165]
Input value of critical (first of population of interest),[ 3.438319 -5.996538  4.440421]
