Attribute,Value
Number Critical Scenarios,589
Number Critical Scenarios (duplicate free),164
Number All Scenarios,1000
Number All Scenarios (duplicate free),325
Number Best Critical Scenarios,141
Number Best Critical Scenarios (duplicate free),28
Number Best Scenarios,173
Number Best Scenarios (duplicate free),37
Ratio Critical/All scenarios,0.59
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.82
Ratio Best Critical/Best Scenarios (duplicate free),0.76
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999995  0.792058]
Input value of critical (first of population of interest),[0.068594 6.566795 5.62991 ]
