Attribute,Value
Number Critical Scenarios,1049
Number Critical Scenarios (duplicate free),179
Number All Scenarios,2000
Number All Scenarios (duplicate free),394
Number Best Critical Scenarios,85
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,105
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.52
Ratio Critical/All scenarios (duplicate free),0.45
Ratio Best Critical/Best Scenarios,0.81
Ratio Best Critical/Best Scenarios (duplicate free),0.85
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.723643 -1.17301 ]
Input value of critical (first of population of interest),[0.348478 0.703162 3.036511]
