Attribute,Value
Number Critical Scenarios,531
Number Critical Scenarios (duplicate free),156
Number All Scenarios,1000
Number All Scenarios (duplicate free),325
Number Best Critical Scenarios,200
Number Best Critical Scenarios (duplicate free),34
Number Best Scenarios,330
Number Best Scenarios (duplicate free),63
Ratio Critical/All scenarios,0.53
Ratio Critical/All scenarios (duplicate free),0.48
Ratio Best Critical/Best Scenarios,0.61
Ratio Best Critical/Best Scenarios (duplicate free),0.54
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.814106  0.682775]
Input value of critical (first of population of interest),[-4.881347 -3.367237 13.002157]
