Attribute,Value
Number Critical Scenarios,572
Number Critical Scenarios (duplicate free),189
Number All Scenarios,1000
Number All Scenarios (duplicate free),353
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.57
Ratio Critical/All scenarios (duplicate free),0.54
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.90537608  0.70377399]
Input value of critical (first of population of interest),[3.98569869 1.60790569 2.71622155]
