Attribute,Value
Number Critical Scenarios,878
Number Critical Scenarios (duplicate free),214
Number All Scenarios,1000
Number All Scenarios (duplicate free),312
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.88
Ratio Critical/All scenarios (duplicate free),0.69
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.99997741  0.82906465]
Input value of critical (first of population of interest),[ 1.93142981 -5.30415708  2.29433064]
