Attribute,Value
Number Critical Scenarios,487
Number Critical Scenarios (duplicate free),144
Number All Scenarios,1000
Number All Scenarios (duplicate free),300
Number Best Critical Scenarios,54
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,271
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.49
Ratio Critical/All scenarios (duplicate free),0.48
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.32
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.811682]
Input value of critical (first of population of interest),[-5.230213  2.461949  2.879929]
